1	-55	-61	-56	-68	-49	-54	-45	-37	-43	14974108	
1	-54	-57	-56	-61	-53	-44	-47	-32	-44	14974111	
1	-55	-60	-57	-59	-53	-43	-46	-38	-44	14974114	
7	-65	-57	-58	-66	-47	-39	-42	-29	-34	14974273	
7	-64	-56	-59	-65	-46	-39	-45	-31	-34	14974274	
7	-67	-55	-56	-64	-46	-40	-45	-29	-34	14974275	
7	-60	-53	-57	-68	-45	-39	-44	-30	-34	14974276	
7	-70	0	0	-72	-48	-40	-50	-29	-43	14974277	
7	-63	-49	-57	-68	-44	-38	-45	-30	-34	14974266	
7	-60	-58	-57	-69	-45	-38	-45	-31	-35	14974267	
7	-64	-56	-57	-67	-44	-38	-42	-30	-34	14974268	
15	-45	-46	-46	-45	-31	-35	-32	-34	-32	14974266	
15	-47	-45	-46	-48	-31	-36	-36	-43	-50	14974267	
15	-46	-43	-45	-47	-33	-36	-36	-43	-47	14974268	
15	-47	-42	-46	-48	-29	-37	-37	-42	-47	14974269	
15	-46	-43	-46	-48	-29	-34	-36	-42	-49	14974270	
15	-47	-42	-46	-47	-30	-35	-37	-42	-47	14974271	
15	-47	-44	-45	-48	-32	-32	-36	-41	-47	14974272	
15	-47	-42	-45	-48	-29	-33	-34	-41	-47	14974273	
15	-46	-43	-42	-48	-30	-35	-36	-43	-48	14974274	
15	-46	-44	-46	-49	-30	-34	-37	-41	-48	14974275	
15	-48	-45	-45	-48	-29	-35	-36	-43	-47	14974276	
15	-48	-43	-45	-49	-30	-33	-37	-42	-48	14974277	
15	-47	-43	-46	-48	-29	-35	-37	-44	-49	14974278	
15	-48	-44	-45	-49	-33	-35	-41	-41	-48	14974279	
