11	-39	-38	-39	-57	-40	-53	-46	-56	-57	14974266	
11	-38	-38	-40	-58	-41	-53	-43	-54	-57	14974267	
11	-39	-38	-41	-58	-40	-51	-44	-53	-58	14974268	
11	-38	-39	-41	-57	-43	-51	-44	-53	-58	14974269	
11	-39	-39	-42	-56	-41	-50	-52	-55	-59	14974270	
11	-38	-38	-42	-57	-40	-50	-43	-55	-58	14974271	
11	-38	-39	-44	-57	-42	-53	-60	-54	-61	14974272	
11	-39	-38	-45	-59	-43	-54	-61	-54	-59	14974273	
11	-38	-38	-44	-59	-42	-54	-62	-53	-60	14974274	
11	-38	-39	-42	-58	-40	-49	-44	-54	-59	14974275	
11	-39	-39	-44	-59	-40	-53	-54	-53	-61	14974276	
11	-39	-38	-44	-57	-43	-50	-60	-55	-60	14974277	
11	-39	-39	-45	-57	-42	-50	-62	-54	-61	14974278	
11	-35	-30	-44	-54	-36	-48	-46	-50	-58	14974279	
11	-38	-36	-43	-56	-37	-50	-46	-50	-58	14974280	
11	-38	-36	-45	-55	-38	-49	-49	-53	-57	14974281	
11	-38	-36	-43	-55	-38	-48	-49	-55	-58	14974282	
11	-38	-38	-44	-55	-40	-49	-51	-54	-59	14974283	
11	-38	-36	-45	-54	-39	-50	-49	-53	-56	14974284	
11	-38	-37	-43	-55	-38	-50	-47	-53	-59	14974285	
